pkfam_index	Subgroup	Group	Uniprot_protein_human_name	Human Alias.2	Uniprot_protein_human_id	Uniprot_protein_mouse_name	Mouse Alias.2	Uniprot_protein_mouse_id	Uniprot_Gene	KRSA	UKA	PTMSEA	KEA3
435	Tyr	proteinkinasefamily	VGFR2	HUMAN	P35968	VGFR2	MOUSE	P35918	KDR	VEGFR	KDR	VEGFR2/KDR	KDR
20	AGC	Ser/Thrproteinkinasefamily	LATS1	HUMAN	O95835	LATS1	MOUSE	Q8BYR2	LATS1	NDR	LATS1	LATS1	LATS1
21	AGC	Ser/Thrproteinkinasefamily	LATS2	HUMAN	Q9NRM7	LATS2	MOUSE	Q7TSJ6	LATS2	NDR	LATS2	LATS2	LATS2
437	Tyr	proteinkinasefamily	LCK	HUMAN	P06239	LCK	MOUSE	P06240	LCK	SRC	Lck	Lck/LCK	LCK
441	Tyr	proteinkinasefamily	LYN	HUMAN	P07948	LYN	MOUSE	P25911	LYN	SRC	Lyn	LYN	LYN
281	STE	Ser/Thrproteinkinasefamily	MP2K1	HUMAN	Q02750	MP2K1	MOUSE	P31938	MAP2K1	STE7	MEK1/MAP2K1	MEK1/MAP2K1	MAP2K1
284	STE	Ser/Thrproteinkinasefamily	MP2K4	HUMAN	P45985	MP2K4	MOUSE	P47809	MAP2K4	STE7	SEK1/MAP2K4	MKK4/MAP2K4	MAP2K4
286	STE	Ser/Thrproteinkinasefamily	MP2K6	HUMAN	P52564	MP2K6	MOUSE	P70236	MAP2K6	STE7	MKK6/MAP2K6	MKK6/MAP2K6	MAP2K6
287	STE	Ser/Thrproteinkinasefamily	MP2K7	HUMAN	O14733	MP2K7	MOUSE	Q8CE90	MAP2K7	STE7	MAP2K7	MKK7/MAP2K7	MAP2K7
288	STE	Ser/Thrproteinkinasefamily	M3K1	HUMAN	Q13233	M3K1	MOUSE	P53349	MAP3K1	STE11	MEKK1/MAP3K1	MEKK1/MAP3K1	MAP3K1
289	STE	Ser/Thrproteinkinasefamily	M3K10	HUMAN	Q02779	M3K10	MOUSE	Q66L42	MAP3K10	MLK	MLK2	MLK2/MAP3K10	MAP3K10
290	STE	Ser/Thrproteinkinasefamily	M3K11	HUMAN	Q16584	M3K11	MOUSE	Q80XI6	MAP3K11	MLK	MLK3	MLK3/MAP3K11	MAP3K11
301	STE	Ser/Thrproteinkinasefamily	M3K5	HUMAN	Q99683	M3K5	MOUSE	O35099	MAP3K5	STE11	ASK/MAP3K5	ASK1/MAP3K5	MAP3K5
302	STE	Ser/Thrproteinkinasefamily	M3K6	HUMAN	O95382	M3K6	MOUSE	Q9WTR2	MAP3K6	STE11	ASK2/MAP3K6	MEKK6/MAP3K6	MAP3K6
304	STE	Ser/Thrproteinkinasefamily	M3K8	HUMAN	P41279	M3K8	MOUSE	Q07174	MAP3K8	COT	COT	Cot/MAP3K8	MAP3K8
306	STE	Ser/Thrproteinkinasefamily	M4K1	HUMAN	Q92918	M4K1	MOUSE	P70218	MAP4K1	KHS	HPK1	HPK1/MAP4K1	MAP4K1
223	CMGC	Ser/Thrproteinkinasefamily	MK01	HUMAN	P28482	MK01	MOUSE	P63085	MAPK1	ERK	ERK2	ERK2/MAPK1	MAPK1
224	CMGC	Ser/Thrproteinkinasefamily	MK10	HUMAN	P53779	MK10	MOUSE	Q61831	MAPK10	JNK	JNK3	JNK3/MAPK10	MAPK10
229	CMGC	Ser/Thrproteinkinasefamily	MK15	HUMAN	Q8TD08	MK15	MOUSE	Q80Y86	MAPK15	ERK	ERK7	ERK7/MAPK15	MAPK15
230	CMGC	Ser/Thrproteinkinasefamily	MK03	HUMAN	P27361	MK03	MOUSE	Q63844	MAPK3	ERK	ERK1	ERK1/MAPK3	MAPK3
233	CMGC	Ser/Thrproteinkinasefamily	MK07	HUMAN	Q13164	MK07	MOUSE	Q9WVS8	MAPK7	ERK	ERK5	ERK5/MAPK7	MAPK7
234	CMGC	Ser/Thrproteinkinasefamily	MK08	HUMAN	P45983	MK08	MOUSE	Q91Y86	MAPK8	JNK	JNK1	JNK1/MAPK8	MAPK8
235	CMGC	Ser/Thrproteinkinasefamily	MK09	HUMAN	P45984	MK09	MOUSE	Q9WTU6	MAPK9	JNK	JNK2	JNK2/MAPK9	MAPK9
95	CAMK	Ser/Thrproteinkinasefamily	MAPK2	HUMAN	P49137	MAPK2	MOUSE	P49138	MAPKAPK2	MAPKAPK	MAPKAPK2	MAPKAPK2	MAPKAPK2
97	CAMK	Ser/Thrproteinkinasefamily	MAPK5	HUMAN	Q8IW41	MAPK5	MOUSE	O54992	MAPKAPK5	MAPKAPK	MAPKAPK5	MAPKAPK5	MAPKAPK5
443	Tyr	proteinkinasefamily	MERTK	HUMAN	Q12866	MERTK	MOUSE	Q60805	MERTK	AXL	Mer	Mer/MERTK	MERTK
444	Tyr	proteinkinasefamily	MET	HUMAN	P08581	MET	MOUSE	P16056	MET	MET	Met	Met/MET	MET
252	NEK	Ser/Thrproteinkinasefamily	NEK2	HUMAN	P51955	NEK2	MOUSE	O35942	NEK2	NEK	Nek2	NEK2	NEK2
256	NEK	Ser/Thrproteinkinasefamily	NEK6	HUMAN	Q9HC98	NEK6	MOUSE	Q9ES70	NEK6	NEK	Nek6	NEK6	NEK6
259	NEK	Ser/Thrproteinkinasefamily	NEK9	HUMAN	Q8TD19	NEK9	MOUSE	Q8K1R7	NEK9	NEK	Nek9	NEK9	NEK9
237	CMGC	Ser/Thrproteinkinasefamily	NLK	HUMAN	Q9UBE8	NLK	MOUSE	O54949	NLK	nmo	NLK	NLK	NLK
447	Tyr	proteinkinasefamily	NTRK1	HUMAN	P04629	NTRK1	MOUSE	Q3UFB7	NTRK1	TRK	TRKA	TrkA/NTRK1	NTRK1
448	Tyr	proteinkinasefamily	NTRK2	HUMAN	Q16620	NTRK2	MOUSE	P15209	NTRK2	TRK	TRKB	TrkB/NTRK2	NTRK2
316	STE	Ser/Thrproteinkinasefamily	PAK1	HUMAN	Q13153	PAK1	MOUSE	O88643	PAK1	PAKA	PAK1	PAK1	PAK1
317	STE	Ser/Thrproteinkinasefamily	PAK2	HUMAN	Q13177	PAK2	MOUSE	Q8CIN4	PAK2	PAKA	PAK2	PAK2	PAK2
319	STE	Ser/Thrproteinkinasefamily	PAK4	HUMAN	O96013	PAK4	MOUSE	Q8BTW9	PAK4	PAKB	PAK4	PAK4	PAK4
321	STE	Ser/Thrproteinkinasefamily	PAK6	HUMAN	Q9NQU5	PAK6	MOUSE	Q3ULB5	PAK6	PAKB	PAK6	PAK6	PAK6
450	Tyr	proteinkinasefamily	PGFRA	HUMAN	P16234	PGFRA	MOUSE	P26618	PDGFRA	PDGFR	PDGFR[alpha]	PDGFRA	PDGFRA
451	Tyr	proteinkinasefamily	PGFRB	HUMAN	P09619	PGFRB	MOUSE	P05622	PDGFRB	PDGFR	PDGFR[beta]	PDGFRB	PDGFRB
116	CAMK	Ser/Thrproteinkinasefamily	PIM1	HUMAN	P11309	PIM1	MOUSE	P06803	PIM1	PIM	Pim1	Pim1/PIM1	PIM1
518	Other	Other	PINK1	HUMAN	Q9BXM7	PINK1	MOUSE	Q99MQ3	PINK1	N/A	PINK1	PINK1	PINK1
29	AGC	Ser/Thrproteinkinasefamily	PKN1	HUMAN	Q16512	PKN1	MOUSE	P70268	PKN1	PKN	PAK1	PKN1	PKN1
521	Other	Other	PLK1	HUMAN	P53350	PLK1	MOUSE	Q07832	PLK1	PLK	PLK1	PLK1	PLK1
523	Other	Other	PLK3	HUMAN	Q9H4B4	PLK3	MOUSE	Q60806	PLK3	PLK	PLK3	PLK3	PLK3
524	Other	Other	PLK4	HUMAN	O00444	PLK4	MOUSE	Q64702	PLK4	PLK	PLK4	PLK4	PLK4
35	AGC	Ser/Thrproteinkinasefamily	KPCA	HUMAN	P17252	KPCA	MOUSE	P20444	PRKCA	PKCA	PKC[alpha]	PKCA/PRKCA	PRKCA
36	AGC	Ser/Thrproteinkinasefamily	KPCB	HUMAN	P05771	KPCB	MOUSE	P68404	PRKCB	PKCA	PKC[beta]	PKCB/PRKCB	PRKCB
37	AGC	Ser/Thrproteinkinasefamily	KPCD	HUMAN	Q05655	KPCD	MOUSE	P28867	PRKCD	PKCD	PKC[delta]	PKCD/PRKCD	PRKCD
38	AGC	Ser/Thrproteinkinasefamily	KPCE	HUMAN	Q02156	KPCE	MOUSE	P16054	PRKCE	PKCH	PKC[epsilon]	PKCE/PRKCE	PRKCE
39	AGC	Ser/Thrproteinkinasefamily	KPCG	HUMAN	P05129	KPCG	MOUSE	P63318	PRKCG	PKCA	PKC[gamma]	PKCG/PRKCG	PRKCG
40	AGC	Ser/Thrproteinkinasefamily	KPCL	HUMAN	P24723	KPCL	MOUSE	P23298	PRKCH	PKCH	PKC[eta]	PKCH/PRKCH	PRKCH
41	AGC	Ser/Thrproteinkinasefamily	KPCI	HUMAN	P41743	KPCI	MOUSE	Q62074	PRKCI	PKCI	PKC[iota]	PKCI/PRKCI	PRKCI
42	AGC	Ser/Thrproteinkinasefamily	KPCT	HUMAN	Q04759	KPCT	MOUSE	Q02111	PRKCQ	PKCD	PKC[theta]	PKCT/PRKCQ	PRKCQ
43	AGC	Ser/Thrproteinkinasefamily	KPCZ	HUMAN	Q05513	KPCZ	MOUSE	Q02956	PRKCZ	PKCI	PKC[zeta]	PKCZ/PRKCZ	PRKCZ
122	CAMK	Ser/Thrproteinkinasefamily	KPCD1	HUMAN	Q15139	KPCD1	MOUSE	Q62101	PRKD1	PKD	PKD1	PRKD1	PRKD1
123	CAMK	Ser/Thrproteinkinasefamily	KPCD2	HUMAN	Q9BZL6	KPCD2	MOUSE	Q8BZ03	PRKD2	PKD	PKD2	PRKD2	PRKD2
44	AGC	Ser/Thrproteinkinasefamily	KGP1	HUMAN	Q13976	KGP1	MOUSE	P0C605	PRKG1	PKG	PKG1	PKG1/PRKG1	PRKG1
45	AGC	Ser/Thrproteinkinasefamily	KGP2	HUMAN	Q13237	KGP2	MOUSE	Q61410	PRKG2	PKG	PKG2	PKG2/PRKG2	PRKG2
453	Tyr	proteinkinasefamily	FAK2	HUMAN	Q14289	FAK2	MOUSE	Q9QVP9	PTK2B	FAK	FAK2	Pyk2/PTK2B	PTK2B
368	TKL	Ser/Thrproteinkinasefamily	RAF1	HUMAN	P04049	RAF1	MOUSE	Q99N57	RAF1	RAF	RAF1	RAF1	RAF1
456	Tyr	proteinkinasefamily	RET	HUMAN	P07949	RET	MOUSE	P35546	RET	RET	Ret	Ret/RET	RET
369	TKL	Ser/Thrproteinkinasefamily	RIPK1	HUMAN	Q13546	RIPK1	MOUSE	Q60855	RIPK1	RIPK	RIPK1	RIPK1	RIPK1
370	TKL	Ser/Thrproteinkinasefamily	RIPK2	HUMAN	O43353	RIPK2	MOUSE	P58801	RIPK2	RIPK	RIPK2	RIPK2	RIPK2
48	AGC	Ser/Thrproteinkinasefamily	ROCK1	HUMAN	Q13464	ROCK1	MOUSE	P70335	ROCK1	DMPK	ROCK1	ROCK1	ROCK1
49	AGC	Ser/Thrproteinkinasefamily	ROCK2	HUMAN	O75116	ROCK2	MOUSE	P70336	ROCK2	DMPK	ROCK2	ROCK2	ROCK2
50	AGC	Ser/Thrproteinkinasefamily	KS6A1	HUMAN	Q15418	KS6A1	MOUSE	P18653	RPS6KA1	RSK	RSK1/p90RSK	p90RSK/RPS6KA1	RPS6KA1
52	AGC	Ser/Thrproteinkinasefamily	KS6A3	HUMAN	P51812	KS6A3	MOUSE	P18654	RPS6KA3	RSK	RSK2	RSK2/RPS6KA3	RPS6KA3
54	AGC	Ser/Thrproteinkinasefamily	KS6A5	HUMAN	O75582	KS6A5	MOUSE	Q8C050	RPS6KA5	RSK	MSK1	MSK1/RPS6KA5	RPS6KA5
56	AGC	Ser/Thrproteinkinasefamily	KS6B1	HUMAN	P23443	KS6B1	MOUSE	Q8BSK8	RPS6KB1	RSK	p70S6K	p70S6K/RPS6KB1	RPS6KB1
57	AGC	Ser/Thrproteinkinasefamily	KS6B2	HUMAN	Q9UBS0	KS6B2	MOUSE	Q9Z1M4	RPS6KB2	RSK	p70S6K[beta]	P70S6KB/RPS6KB2	RPS6KB2
58	AGC	Ser/Thrproteinkinasefamily	SGK1	HUMAN	O00141	SGK1	MOUSE	Q9WVC6	SGK1	SGK	SGK1	SGK1	SGK1
60	AGC	Ser/Thrproteinkinasefamily	SGK3	HUMAN	Q96BR1	SGK3	MOUSE	Q9ERE3	SGK3	SGK	SGK2	SGK3	SGK3
127	CAMK	Ser/Thrproteinkinasefamily	SIK1	HUMAN	P57059	SIK1	MOUSE	Q60670	SIK1	QIK	MSK1	QIK/SIK2	SIK1
625	Atypical:	PI3/PI4-kinasefamily	SMG1	HUMAN	Q96Q15	SMG1	MOUSE	Q8BKX6	SMG1	N/A	SMG1	SMG1	SMG1
461	Tyr	proteinkinasefamily	SRC	HUMAN	P12931	SRC	MOUSE	P05480	SRC	SRC	Src	Src/SRC	SRC
239	CMGC	Ser/Thrproteinkinasefamily	SRPK1	HUMAN	Q96SB4	SRPK1	MOUSE	O70551	SRPK1	N/A	SRPK1	SRPK1	SRPK1
328	STE	Ser/Thrproteinkinasefamily	STK3	HUMAN	Q13188	STK3	MOUSE	Q9JI10	STK3	MST	MST2	MST2/STK3	STK3
61	AGC	Ser/Thrproteinkinasefamily	STK38	HUMAN	Q15208	STK38	MOUSE	Q91VJ4	STK38	NDR	NDR1	NDR1/STK38	STK38
329	STE	Ser/Thrproteinkinasefamily	STK39	HUMAN	Q9UEW8	STK39	MOUSE	Q9Z1W9	STK39	FRAY	PASK	STLK3/STK39	STK39
464	Tyr	proteinkinasefamily	KSYK	HUMAN	P43405	KSYK	MOUSE	P48025	SYK	SYK	Syk	Syk/SYK	SYK
548	Other	Other	TBK1	HUMAN	Q9UHD2	TBK1	MOUSE	Q9WUN2	TBK1	IKK	TBK1	TBK1	TBK1
467	Tyr	proteinkinasefamily	TEC	HUMAN	P42680	TEC	MOUSE	P24604	TEC	TEC	TEC	TEC	TEC
376	TKL	Ser/Thrproteinkinasefamily	TGFR2	HUMAN	P37173	TGFR2	MOUSE	Q62312	TGFBR2	STKR	TGF[beta]R2	TGFBR2	TGFBR2
553	Other	Other	TTK	HUMAN	P33981	TTK	MOUSE	P35761	TTK	TTK	TTK	TTK	TTK
473	Tyr	proteinkinasefamily	TYK2	HUMAN	P29597	TYK2	MOUSE	Q9R117	TYK2	JAK	Tyk2	Tyk2/TYK2	TYK2
555	Other	Other	ULK1	HUMAN	O75385	ULK1	MOUSE	O70405	ULK1	ULK	ULK1	ULK1	ULK1
170	CK1	Ser/Thrproteinkinasefamily	VRK1	HUMAN	Q99986	VRK1	MOUSE	Q80X41	VRK1	VRK1	VRK1	VRK1	VRK1
561	Other	Other	WNK1	HUMAN	Q9H4A3	WNK1	MOUSE	P83741	WNK1	WNK	WNK1	WNK1	WNK1
475	Tyr	proteinkinasefamily	YES	HUMAN	P07947	YES	MOUSE	Q04736	YES1	SRC	Yes	Yes/YES1	YES1
476	Tyr	proteinkinasefamily	ZAP70	HUMAN	P43403	ZAP70	MOUSE	P43404	ZAP70	SYK	ZAP70	ZAP70	ZAP70
387	Tyr	proteinkinasefamily	ABL2	HUMAN	P42684	ABL2	MOUSE	Q4JIM5	ABL2	ABL	Arg	Not found by Jake	ABL2
345	TKL	Ser/Thrproteinkinasefamily	ACV1B	HUMAN	P36896	ACV1B	MOUSE	Q61271	ACVR1B	STKR	ALK4	Not found by Ethan	ACVR1B
390	Tyr	proteinkinasefamily	BLK	HUMAN	P51451	BLK	MOUSE	P16277	BLK	SRC	BLK	Not found by Jake	BLK
488	Other	Other	BMP2K	HUMAN	Q9NSY1	BMP2K	MOUSE	Q91Z96	BMP2K	NAK	BIKE	Not found by Ethan	BMP2K
71	CAMK	Ser/Thrproteinkinasefamily	BRSK1	HUMAN	Q8TDC3	BRSK1	MOUSE	Q5RJI5	BRSK1	Not Found By Ethan	BRSK1	BRSK1_iso2/BRSK1	BRSK1
392	Tyr	proteinkinasefamily	BTK	HUMAN	Q06187	BTK	MOUSE	P35991	BTK	TEC	BTK	Not found by Jake	BTK
489	Other	Other	BUB1	HUMAN	O43683	BUB1	MOUSE	O08901	BUB1	Not Found By Ethan	Bub1	BUB1	BUB1
79	CAMK	Ser/Thrproteinkinasefamily	KCC2G	HUMAN	Q13555	KCC2G	MOUSE	Q923T9	CAMK2G	CAMK2	CaMK2[gamma]	Not found by Ethan	CAMK2G
492	Other	Other	KKCC2	HUMAN	Q96RR4	KKCC2	MOUSE	Q8C078	CAMKK2	CAMKK	CAMKK2	Not found by Ethan	CAMKK2
