Kinase	Score	Rank	Method	Perc	Qrt	Uniprot_Gene	KinaseFamily
ERK1	1.62617946070709	59	UKA	0.2926829268292683	3	MAPK3	ERK
CDKL5	1.62000374999347	61	UKA	0.2682926829268293	3	CDKL5	NA
CDC2/CDK1	1.61371723721189	66	UKA	0.2073170731707317	4	CDK1	CDK
JNK1	1.62899778856593	57	UKA	0.3170731707317073	3	MAPK8	JNK
JNK3	1.62740807022817	58	UKA	0.3048780487804878	3	MAPK10	JNK
PKC[beta]	1.62929132518429	56	UKA	0.32926829268292684	3	PRKCB	PKCA
PAK1	1.61652404881329	65	UKA	0.21951219512195122	4	PAK1	PAKA
PAK1	1.61652404881329	65	UKA	0.21951219512195122	4	PKN1	PKN
CDK2	1.59921786052119	68	UKA	0.18292682926829268	4	CDK2	CDK
ERK5	1.56868342068876	75	UKA	0.0975609756097561	4	MAPK7	ERK
JNK2	1.61706583043695	63	UKA	0.24390243902439024	4	MAPK9	JNK
Pim1	1.61943977172958	62	UKA	0.25609756097560976	3	PIM1	PIM
ROCK1	1.57675348417211	73	UKA	0.12195121951219512	4	ROCK1	DMPK
IKK[beta]	1.61271092105297	67	UKA	0.1951219512195122	4	IKBKB	IKK
Akt1/PKB[alpha]	1.61690022799169	64	UKA	0.23170731707317074	4	AKT1	AKT
p38[gamma]	1.58393256162835	71	UKA	0.14634146341463414	4	NA	NA
NuaK1	1.56253709112074	80	UKA	0.036585365853658534	4	NUAK1	NuaK
PCTAIRE2	1.55662433717507	83	UKA	0	4	CDK17	CDK
ROCK2	1.55886105126486	82	UKA	0.012195121951219513	4	ROCK2	DMPK
ARAF	1.58216812904222	72	UKA	0.13414634146341464	4	ARAF	RAF
BRAF	1.58878686143428	69	UKA	0.17073170731707318	4	BRAF	RAF
PKC[theta]	1.62018508981214	60	UKA	0.2804878048780488	3	PRKCQ	PKCD
RSKL2	1.57171824448249	74	UKA	0.10975609756097561	4	RPS6KL1	NA
ERK2	1.58526889433655	70	UKA	0.15853658536585366	4	MAPK1	ERK
SGK1	1.56554715140382	77	UKA	0.07317073170731707	4	SGK1	SGK
CDK7	1.56842553856843	76	UKA	0.08536585365853659	4	CDK7	CDK
ADCK3	1.56298260378117	78	UKA	0.06097560975609756	4	COQ8A	NA
CDK9	1.55953515924846	81	UKA	0.024390243902439025	4	CDK9	CDK
RAF1	1.56256047024492	79	UKA	0.04878048780487805	4	RAF1	RAF
ERK	-5.44534344517764	1	KRSA	1	1	MAPK1	ERK
ERK	-5.44534344517764	1	KRSA	1	1	MAPK15	ERK
ERK	-5.44534344517764	1	KRSA	1	1	MAPK3	ERK
ERK	-5.44534344517764	1	KRSA	1	1	MAPK7	ERK
ERK	-5.44534344517764	1	KRSA	1	1	MAPK6	ERK
ERK	-5.44534344517764	1	KRSA	1	1	MAPK4	ERK
PKA	5.3417326310096245	2	KRSA	0.9875	1	PRKACA	PKA
PKA	5.3417326310096245	2	KRSA	0.9875	1	PRKX	PKA
PKA	5.3417326310096245	2	KRSA	0.9875	1	PRKY	PKA
PKA	5.3417326310096245	2	KRSA	0.9875	1	PRKACB	PKA
PKA	5.3417326310096245	2	KRSA	0.9875	1	PRKACG	PKA
DYRK	-5.294750138918331	3	KRSA	0.975	1	DYRK1A	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	DYRK1B	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	DYRK2	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	HIPK2	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	DYRK3	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	DYRK4	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	HIPK1	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	HIPK3	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	HIPK4	DYRK
DYRK	-5.294750138918331	3	KRSA	0.975	1	PRPF4B	DYRK
JNK	-4.461538952502964	4	KRSA	0.9625	1	MAPK10	JNK
JNK	-4.461538952502964	4	KRSA	0.9625	1	MAPK8	JNK
JNK	-4.461538952502964	4	KRSA	0.9625	1	MAPK9	JNK
PKG	4.280200364661325	5	KRSA	0.95	1	PRKG1	PKG
PKG	4.280200364661325	5	KRSA	0.95	1	PRKG2	PKG
AKT	4.184997463955521	6	KRSA	0.9375	1	AKT1	AKT
AKT	4.184997463955521	6	KRSA	0.9375	1	AKT2	AKT
AKT	4.184997463955521	6	KRSA	0.9375	1	AKT3	AKT
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KA1	RSK
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KA3	RSK
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KA5	RSK
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KB1	RSK
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KB2	RSK
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KA2	RSK
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KA4	RSK
RSK	4.13527412313825	7	KRSA	0.925	1	RPS6KA6	RSK
DMPK	4.125733364813175	8	KRSA	0.9125	1	ROCK1	DMPK
DMPK	4.125733364813175	8	KRSA	0.9125	1	ROCK2	DMPK
DMPK	4.125733364813175	8	KRSA	0.9125	1	CDC42BPA	DMPK
DMPK	4.125733364813175	8	KRSA	0.9125	1	DMPK	DMPK
DMPK	4.125733364813175	8	KRSA	0.9125	1	CDC42BPB	DMPK
DMPK	4.125733364813175	8	KRSA	0.9125	1	CDC42BPG	DMPK
DMPK	4.125733364813175	8	KRSA	0.9125	1	CIT	DMPK
RAD53	3.8255033665711013	9	KRSA	0.9	1	NA	RAD53
PDK1	-3.5337427310215284	10	KRSA	0.8875	1	PDK1	PDK1
PDK1	-3.5337427310215284	10	KRSA	0.8875	1	PDPK1	PDK1
PKD	3.2021054980403334	11	KRSA	0.875	1	PRKD1	PKD
PKD	3.2021054980403334	11	KRSA	0.875	1	PRKD2	PKD
PKD	3.2021054980403334	11	KRSA	0.875	1	PRKD3	PKD
P38	-3.1749130498125417	12	KRSA	0.8625	1	NA	P38
AMPK	3.1265171430018284	13	KRSA	0.85	1	PRKAA1	AMPK
AMPK	3.1265171430018284	13	KRSA	0.85	1	PRKAA2	AMPK
PIM	2.803939637573012	14	KRSA	0.8375	1	PIM1	PIM
PIM	2.803939637573012	14	KRSA	0.8375	1	PIM2	PIM
PIM	2.803939637573012	14	KRSA	0.8375	1	PIM3	PIM
NMO	-2.7135284128236505	15	KRSA	0.825	1	NA	NMO
PAKA	2.6312482698407282	16	KRSA	0.8125	1	PAK1	PAKA
PAKA	2.6312482698407282	16	KRSA	0.8125	1	PAK2	PAKA
PAKA	2.6312482698407282	16	KRSA	0.8125	1	PAK3	PAKA
PHK	2.5954478940760874	17	KRSA	0.8	1	PHKG1	PHK
PHK	2.5954478940760874	17	KRSA	0.8	1	PHKG2	PHK
MST	-2.590331178511439	18	KRSA	0.7875	1	STK3	MST
MST	-2.590331178511439	18	KRSA	0.7875	1	STK4	MST
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK1	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK2	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK3	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK4	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK5	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK6	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK7	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK8	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK9	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK12	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK14	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK15	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK16	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK20	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK10	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK11A	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK17	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK18	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK19	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK11B	CDK
CDK	-2.4216439532805913	19	KRSA	0.775	1	CDK13	CDK
PLK	-2.3945259759669812	20	KRSA	0.7625	1	PLK1	PLK
PLK	-2.3945259759669812	20	KRSA	0.7625	1	PLK3	PLK
PLK	-2.3945259759669812	20	KRSA	0.7625	1	PLK4	PLK
PLK	-2.3945259759669812	20	KRSA	0.7625	1	PLK2	PLK
PLK	-2.3945259759669812	20	KRSA	0.7625	1	PLK5	PLK
PKCA	2.2949611545641857	21	KRSA	0.75	1	PRKCA	PKCA
PKCA	2.2949611545641857	21	KRSA	0.75	1	PRKCB	PKCA
PKCA	2.2949611545641857	21	KRSA	0.75	1	PRKCG	PKCA
LKB	-2.057617104115275	22	KRSA	0.7375	2	STK11	LKB
STE7	-1.9942373573568735	23	KRSA	0.725	2	MAP2K1	STE7
STE7	-1.9942373573568735	23	KRSA	0.725	2	MAP2K4	STE7
STE7	-1.9942373573568735	23	KRSA	0.725	2	MAP2K6	STE7
STE7	-1.9942373573568735	23	KRSA	0.725	2	MAP2K7	STE7
STE7	-1.9942373573568735	23	KRSA	0.725	2	MAP2K2	STE7
STE7	-1.9942373573568735	23	KRSA	0.725	2	MAP2K3	STE7
STE7	-1.9942373573568735	23	KRSA	0.725	2	MAP2K5	STE7
CAMK1	1.9000400078515842	24	KRSA	0.7125	2	CAMK1	CAMK1
CAMK1	1.9000400078515842	24	KRSA	0.7125	2	CAMK4	CAMK1
CAMK1	1.9000400078515842	24	KRSA	0.7125	2	CAMK1D	CAMK1
CAMK1	1.9000400078515842	24	KRSA	0.7125	2	PNCK	CAMK1
CAMK1	1.9000400078515842	24	KRSA	0.7125	2	CAMK1G	CAMK1
MAPKAPK	1.8959534989243823	25	KRSA	0.7	2	MAPKAPK2	MAPKAPK
MAPKAPK	1.8959534989243823	25	KRSA	0.7	2	MAPKAPK5	MAPKAPK
MAPKAPK	1.8959534989243823	25	KRSA	0.7	2	MAPKAPK3	MAPKAPK
MAPKAPK	1.8959534989243823	25	KRSA	0.7	2	MKNK1	MAPKAPK
MAPKAPK	1.8959534989243823	25	KRSA	0.7	2	MKNK2	MAPKAPK
PAKB	1.8430609997485814	26	KRSA	0.6875	2	PAK4	PAKB
PAKB	1.8430609997485814	26	KRSA	0.6875	2	PAK6	PAKB
PAKB	1.8430609997485814	26	KRSA	0.6875	2	PAK5	PAKB
PKCD	1.8247720852491858	27	KRSA	0.675	2	PRKCD	PKCD
PKCD	1.8247720852491858	27	KRSA	0.675	2	PRKCQ	PKCD
MLCK	-1.8182180263865764	28	KRSA	0.6625	2	MYLK2	MLCK
MLCK	-1.8182180263865764	28	KRSA	0.6625	2	TTN	MLCK
MLCK	-1.8182180263865764	28	KRSA	0.6625	2	MYLK	MLCK
VRK1	-1.755279145163652	29	KRSA	0.65	2	VRK1	VRK1
GSK	-1.4670815280790932	30	KRSA	0.6375	2	GSK3A	GSK
GSK	-1.4670815280790932	30	KRSA	0.6375	2	GSK3B	GSK
MARK	1.4521630168079867	31	KRSA	0.625	2	Smok1	MARK
MARK	1.4521630168079867	31	KRSA	0.625	2	Smok2a	MARK
MARK	1.4521630168079867	31	KRSA	0.625	2	Smok2b	MARK
IRAK	-1.3738670625990392	32	KRSA	0.6125	2	IRAK1	IRAK
IRAK	-1.3738670625990392	32	KRSA	0.6125	2	IRAK4	IRAK
IRAK	-1.3738670625990392	32	KRSA	0.6125	2	IRAK3	IRAK
IRAK	-1.3738670625990392	32	KRSA	0.6125	2	IRAK2	IRAK
RIPK	1.3183755074443566	33	KRSA	0.6	2	RIPK1	RIPK
RIPK	1.3183755074443566	33	KRSA	0.6	2	RIPK2	RIPK
RIPK	1.3183755074443566	33	KRSA	0.6	2	RIPK3	RIPK
RIPK	1.3183755074443566	33	KRSA	0.6	2	ANKK1	RIPK
RIPK	1.3183755074443566	33	KRSA	0.6	2	RIPK4	RIPK
MOS	1.3087579432952445	34	KRSA	0.5875	2	NA	MOS
SGK	1.3084079206987782	35	KRSA	0.575	2	SGK1	SGK
SGK	1.3084079206987782	35	KRSA	0.575	2	SGK3	SGK
SGK	1.3084079206987782	35	KRSA	0.575	2	SGK2	SGK
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K1	STE11
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K5	STE11
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K6	STE11
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K3	STE11
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K4	STE11
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K7	STE11
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K15	STE11
STE11	-1.2614430347242354	36	KRSA	0.5625	2	MAP3K2	STE11
KHS	1.2595747141568607	37	KRSA	0.55	2	MAP4K1	KHS
KHS	1.2595747141568607	37	KRSA	0.55	2	MAP4K2	KHS
KHS	1.2595747141568607	37	KRSA	0.55	2	MAP4K5	KHS
KHS	1.2595747141568607	37	KRSA	0.55	2	MAP4K3	KHS
TAO	1.2582477254107365	38	KRSA	0.5375	2	TAOK1	TAO
TAO	1.2582477254107365	38	KRSA	0.5375	2	TAOK2	TAO
TAO	1.2582477254107365	38	KRSA	0.5375	2	TAOK3	TAO
AUR	1.222689641535796	39	KRSA	0.525	2	AURKA	AUR
AUR	1.222689641535796	39	KRSA	0.525	2	AURKB	AUR
AUR	1.222689641535796	39	KRSA	0.525	2	AURKC	AUR
MTOR	-1.1731989158063036	40	KRSA	0.5125	2	MTOR	MTOR
PKN	-1.165808574728447	41	KRSA	0.5	2	PKN1	PKN
PKN	-1.165808574728447	41	KRSA	0.5	2	PKN2	PKN
PKN	-1.165808574728447	41	KRSA	0.5	2	PKN3	PKN
NAK	-1.13567093643283	42	KRSA	0.4875	3	BMP2K	NAK
NAK	-1.13567093643283	42	KRSA	0.4875	3	STK16	NAK
NAK	-1.13567093643283	42	KRSA	0.4875	3	AAK1	NAK
NAK	-1.13567093643283	42	KRSA	0.4875	3	GAK	NAK
PKCI	1.1283783609623794	43	KRSA	0.475	3	PRKCI	PKCI
PKCI	1.1283783609623794	43	KRSA	0.475	3	PRKCZ	PKCI
NUAK	-1.124296057898353	44	KRSA	0.4625	3	NA	NUAK
TLK	-1.118941705947805	45	KRSA	0.45	3	TLK1	TLK
TLK	-1.118941705947805	45	KRSA	0.45	3	TLK2	TLK
TTK	-1.0810239582287906	46	KRSA	0.4375	3	TTK	TTK
NDR	1.0092160990251067	47	KRSA	0.425	3	LATS1	NDR
NDR	1.0092160990251067	47	KRSA	0.425	3	LATS2	NDR
NDR	1.0092160990251067	47	KRSA	0.425	3	STK38	NDR
NDR	1.0092160990251067	47	KRSA	0.425	3	STK38L	NDR
IKK	0.9801886884544014	48	KRSA	0.4125	3	CHUK	IKK
IKK	0.9801886884544014	48	KRSA	0.4125	3	IKBKB	IKK
IKK	0.9801886884544014	48	KRSA	0.4125	3	IKBKE	IKK
IKK	0.9801886884544014	48	KRSA	0.4125	3	TBK1	IKK
PRKDC	-0.9443302673594314	49	KRSA	0.4	3	PRKDC	PRKDC
FRAY	-0.8351407008883331	50	KRSA	0.3875	3	STK39	FRAY
FRAY	-0.8351407008883331	50	KRSA	0.3875	3	OXSR1	FRAY
NIK	-0.8188457450697785	51	KRSA	0.375	3	MAP3K14	NIK
SLK	-0.7943586781956852	52	KRSA	0.3625	3	STK10	SLK
SLK	-0.7943586781956852	52	KRSA	0.3625	3	SLK	SLK
WNK	-0.7926854122957288	53	KRSA	0.35	3	WNK1	WNK
WNK	-0.7926854122957288	53	KRSA	0.35	3	WNK2	WNK
WNK	-0.7926854122957288	53	KRSA	0.35	3	WNK3	WNK
WNK	-0.7926854122957288	53	KRSA	0.35	3	WNK4	WNK
PDHK	0.7911070826088379	54	KRSA	0.3375	3	PDK2	PDHK
PDHK	0.7911070826088379	54	KRSA	0.3375	3	BCKDK	PDHK
PDHK	0.7911070826088379	54	KRSA	0.3375	3	PDK3	PDHK
PDHK	0.7911070826088379	54	KRSA	0.3375	3	PDK4	PDHK
PASK	-0.7785386888009094	55	KRSA	0.325	3	PASK	PASK
PEK	-0.7748903868695155	56	KRSA	0.3125	3	EIF2AK1	PEK
PEK	-0.7748903868695155	56	KRSA	0.3125	3	EIF2AK2	PEK
PEK	-0.7748903868695155	56	KRSA	0.3125	3	EIF2AK3	PEK
PEK	-0.7748903868695155	56	KRSA	0.3125	3	EIF2AK4	PEK
BUD32	-0.7661644317690142	57	KRSA	0.3	3	NA	BUD32
ULK	-0.7555172816833715	58	KRSA	0.2875	3	ULK1	ULK
ULK	-0.7555172816833715	58	KRSA	0.2875	3	STK36	ULK
ULK	-0.7555172816833715	58	KRSA	0.2875	3	ULK2	ULK
ULK	-0.7555172816833715	58	KRSA	0.2875	3	ULK3	ULK
ULK	-0.7555172816833715	58	KRSA	0.2875	3	ULK4	ULK
CAMKK	-0.75388536081748	59	KRSA	0.275	3	CAMKK1	CAMKK
CAMKK	-0.75388536081748	59	KRSA	0.275	3	CAMKK2	CAMKK
PDK	-0.7514404529326322	60	KRSA	0.2625	3	NA	PDK
CLK	-0.7498124765566387	61	KRSA	0.25	3	CLK1	CLK
CLK	-0.7498124765566387	61	KRSA	0.25	3	CLK2	CLK
CLK	-0.7498124765566387	61	KRSA	0.25	3	CLK3	CLK
CLK	-0.7498124765566387	61	KRSA	0.25	3	CLK4	CLK
BRSK	-0.7425056127394414	62	KRSA	0.2375	4	NA	BRSK
CHK1	0.6337923661599733	63	KRSA	0.225	4	NA	CHK1
STKR	-0.5562720774112564	64	KRSA	0.2125	4	BMPR1B	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	TGFBR2	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	ACVR1B	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	TGFBR1	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	ACVR1	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	ACVR2B	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	AMHR2	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	BMPR1A	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	BMPR2	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	ACVR1C	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	ACVR2A	STKR
STKR	-0.5562720774112564	64	KRSA	0.2125	4	ACVRL1	STKR
ATM	-0.5466625298103479	65	KRSA	0.2	4	ATM	ATM
DAPK	-0.5418306400814857	66	KRSA	0.1875	4	DAPK1	DAPK
DAPK	-0.5418306400814857	66	KRSA	0.1875	4	DAPK3	DAPK
DAPK	-0.5418306400814857	66	KRSA	0.1875	4	STK17A	DAPK
DAPK	-0.5418306400814857	66	KRSA	0.1875	4	DAPK2	DAPK
DAPK	-0.5418306400814857	66	KRSA	0.1875	4	STK17B	DAPK
MELK	0.5262943218381314	67	KRSA	0.175	4	NA	MELK
MSN	0.5122633815993543	68	KRSA	0.1625	4	MAP4K4	MSN
MSN	0.5122633815993543	68	KRSA	0.1625	4	TNIK	MSN
MSN	0.5122633815993543	68	KRSA	0.1625	4	NRK	MSN
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK2	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK6	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK9	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK11	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK3	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK7	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK4	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK5	NEK
NEK	0.48370469149064893	69	KRSA	0.15	4	NEK8	NEK
MLK	-0.48028819319184346	70	KRSA	0.1375	4	MAP3K10	MLK
MLK	-0.48028819319184346	70	KRSA	0.1375	4	MAP3K11	MLK
MLK	-0.48028819319184346	70	KRSA	0.1375	4	ILK	MLK
MLK	-0.48028819319184346	70	KRSA	0.1375	4	MAP3K12	MLK
MLK	-0.48028819319184346	70	KRSA	0.1375	4	MAP3K13	MLK
MLK	-0.48028819319184346	70	KRSA	0.1375	4	MAP3K9	MLK
MLK	-0.48028819319184346	70	KRSA	0.1375	4	TNNI3K	MLK
RAF	0.3856046166936259	71	KRSA	0.125	4	ARAF	RAF
RAF	0.3856046166936259	71	KRSA	0.125	4	BRAF	RAF
RAF	0.3856046166936259	71	KRSA	0.125	4	RAF1	RAF
RAF	0.3856046166936259	71	KRSA	0.125	4	KSR1	RAF
RAF	0.3856046166936259	71	KRSA	0.125	4	KSR2	RAF
HAL	0.3755522164657829	72	KRSA	0.1125	4	NPR1	HAL
GRK	-0.3561038389597325	73	KRSA	0.1	4	GRK5	GRK
GRK	-0.3561038389597325	73	KRSA	0.1	4	GRK6	GRK
GRK	-0.3561038389597325	73	KRSA	0.1	4	GRK1	GRK
GRK	-0.3561038389597325	73	KRSA	0.1	4	GRK4	GRK
GRK	-0.3561038389597325	73	KRSA	0.1	4	GRK7	GRK
CAMK2	0.258192620579744	74	KRSA	0.0875	4	CAMK2A	CAMK2
CAMK2	0.258192620579744	74	KRSA	0.0875	4	CAMK2B	CAMK2
CAMK2	0.258192620579744	74	KRSA	0.0875	4	CAMK2D	CAMK2
CAMK2	0.258192620579744	74	KRSA	0.0875	4	CAMK2G	CAMK2
CK1	-0.24877351929174504	75	KRSA	0.075	4	CSNK1A1	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	CSNK1D	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	CSNK1E	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	CSNK1G1	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	CSNK1G2	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	CSNK1G3	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	TTBK1	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	TTBK2	CK1
CK1	-0.24877351929174504	75	KRSA	0.075	4	VRK3	CK1
